lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
151.1705939,-33.9165447,1100,100,0,0,0
151.1716752,-33.9165608,1100,100,0,0,0
151.1727564,-33.9165768,1100,100,0,0,0
151.1738377,-33.9165929,1100,100,0,0,0
151.174919,-33.9166089,1100,100,0,0,0
151.1760002,-33.9166249,180,100,0,0,0
151.1770815,-33.916641,1100,100,0,0,0
151.1781627,-33.916657,1100,100,0,0,0
151.179244,-33.916673,180,100,0,0,0
151.1803252,-33.9166889,180,100,0,0,0
151.1814065,-33.9167049,180,100,0,0,0
151.1824878,-33.9167209,180,100,0,0,0
151.183569,-33.9167368,115,100,0,0,0
151.1846503,-33.9167528,115,100,0,0,0
151.1857316,-33.9167687,115,100,0,0,0
151.1630058,-33.9173335,270,100,0,0,0
151.1640871,-33.9173496,180,100,0,0,0
151.1651684,-33.9173657,270,100,0,0,0
151.1662496,-33.9173818,270,100,0,0,0
151.1673309,-33.9173979,1100,100,0,0,0
151.1684121,-33.917414,1100,100,0,0,0
151.1694934,-33.9174301,1100,100,0,0,0
151.1705747,-33.9174462,1100,100,0,0,0
151.1716559,-33.9174622,1100,100,0,0,0
151.1727372,-33.9174783,1100,100,0,0,0
151.1738185,-33.9174943,115,100,0,0,0
151.1748997,-33.9175104,115,100,0,0,0
151.175981,-33.9175264,115,100,0,0,0
151.1770623,-33.9175424,180,100,0,0,0
151.1781435,-33.9175584,115,100,0,0,0
151.1792248,-33.9175744,115,100,0,0,0
151.1803061,-33.9175904,115,100,0,0,0
151.1813874,-33.9176064,115,100,0,0,0
151.1824686,-33.9176223,115,100,0,0,0
151.1835499,-33.9176383,270,100,0,0,0
151.1846312,-33.9176542,270,100,0,0,0
151.1619052,-33.9182188,1100,100,0,0,0
151.1629865,-33.9182349,1100,100,0,0,0
151.1640678,-33.918251,1100,100,0,0,0
151.165149,-33.9182672,270,100,0,0,0
151.1662303,-33.9182833,270,100,0,0,0
151.1673116,-33.9182994,1100,100,0,0,0
151.1683929,-33.9183155,1100,100,0,0,0
151.1694741,-33.9183315,1100,100,0,0,0
151.1705554,-33.9183476,1100,100,0,0,0
151.1716367,-33.9183637,1100,100,0,0,0
151.172718,-33.9183797,115,100,0,0,0
151.1737992,-33.9183958,115,100,0,0,0
151.1748805,-33.9184118,115,100,0,0,0
151.1759618,-33.9184278,115,100,0,0,0
151.1770431,-33.9184438,115,100,0,0,0
151.1781243,-33.9184599,115,100,0,0,0
151.1792056,-33.9184758,115,100,0,0,0
151.1802869,-33.9184918,115,100,0,0,0
151.1813682,-33.9185078,270,100,0,0,0
151.1597233,-33.9190879,1100,100,0,0,0
151.1608046,-33.9191041,1100,100,0,0,0
151.1618859,-33.9191202,1100,100,0,0,0
151.1629671,-33.9191364,1100,100,0,0,0
151.1640484,-33.9191525,1100,100,0,0,0
151.1651297,-33.9191686,1100,100,0,0,0
151.166211,-33.9191847,1100,100,0,0,0
151.1672923,-33.9192008,270,100,0,0,0
151.1683736,-33.9192169,1100,100,0,0,0
151.1694548,-33.919233,1100,100,0,0,0
151.1705361,-33.9192491,1100,100,0,0,0
151.1716174,-33.9192651,115,100,0,0,0
151.1726987,-33.9192812,115,100,0,0,0
151.17378,-33.9192972,115,100,0,0,0
151.1748613,-33.9193133,115,100,0,0,0
151.1759426,-33.9193293,115,100,0,0,0
151.1770239,-33.9193453,115,100,0,0,0
151.1781052,-33.9193613,115,100,0,0,0
151.1791864,-33.9193773,115,100,0,0,0
151.1802677,-33.9193933,270,100,0,0,0
151.1586226,-33.9199732,1100,100,0,0,0
151.1597039,-33.9199894,1100,100,0,0,0
151.1607852,-33.9200055,1100,100,0,0,0
151.1618665,-33.9200217,1100,100,0,0,0
151.1629478,-33.9200378,1100,100,0,0,0
151.1640291,-33.9200539,1100,100,0,0,0
151.1651104,-33.92007,1100,100,0,0,0
151.1661917,-33.9200862,1100,100,0,0,0
151.167273,-33.9201023,1100,100,0,0,0
151.1683543,-33.9201183,1100,100,0,0,0
151.1694356,-33.9201344,1100,100,0,0,0
151.1705169,-33.9201505,115,100,0,0,0
151.1715982,-33.9201666,115,100,0,0,0
151.1726795,-33.9201826,115,100,0,0,0
151.1737608,-33.9201987,115,100,0,0,0
