id,lon,lat,taxonomy,number,structural,day,night,suburb,lzcode,lzpurpose
1936,151.1423881,-33.9702256,UNAFFECTED,0,0,0,0,Kogarah,RE1,N/A
1937,151.14347,-33.970242,UNAFFECTED,0,0,0,0,Kogarah,RE1,N/A
1938,151.1328282,-33.9619655,URML_P,5.7,11685000,285,0,Kogarah,B4,N/A
1939,151.13391,-33.9619819,URML_P,5.7,11685000,285,0,Kogarah,B4,N/A
1940,151.1349918,-33.9619983,URML_P,5.7,11685000,285,0,Kogarah,B4,N/A
1941,151.1328085,-33.9628669,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1942,151.1338903,-33.9628833,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1943,151.1349721,-33.9628997,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1944,151.1327888,-33.9637683,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1945,151.1338706,-33.9637847,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1946,151.1349525,-33.9638011,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1947,151.1360343,-33.9638175,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1948,151.1327691,-33.9646697,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1949,151.1338509,-33.9646861,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1950,151.1349328,-33.9647025,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1951,151.1360146,-33.9647189,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1952,151.1316676,-33.9655547,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1953,151.1327494,-33.9655711,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1954,151.1338313,-33.9655876,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1955,151.1349131,-33.965604,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
1956,151.130566,-33.9664397,URML_P,5.7,1.17E+07,285,0,Kogarah,B4,N/A
